File Name,Total Time,Tempo,Song Key,Instruments,Note Count
AnEarthDwellersReturn.mid.mid,49.23071999999999,78,Unknown,"29, 30",131
ANewLevel.mid,236.2685265,130,Unknown,"34, 29, 30",4574
Angel.mid,259.361208,85,Unknown,"24, 25, 33",3043
AngelFood.mid,158.9263115,163,Unknown,"0, 25, 48",3430
Angelfuck.mid,90.91657575,180,Unknown,"33, 29",2136
AngelOfDeath.mid,285.524784,210,Unknown,"34, 85, 29",11872
AngelsDontKill.mid,302.730546,92,Unknown,"34, 30, 15",3835
AngelsFallFirst.mid,338.73508400000003,120,Unknown,"73, 25, 48, 85",2210
AngelsSon.mid,229.153004,92,Unknown,"32, 48, 52, 53, 24, 25, 29",7374
Animal(FuckLikeABeast).mid,178.76673,146,Unknown,"33, 68, 30",3048
Animal.mid,236.06544000000002,122,Unknown,"27, 36, 29, 30",4360
AnimalMagnetism.mid,303.395832,106,Unknown,"33, 29",4402
AnimateInanimate.mid,708.5801105,130,Unknown,"33, 30",8236
Annalee.mid,349.381995,65,Unknown,"0, 32, 49, 18, 52, 24, 25, 30",4520
AnotherBrickInTheWall.mid,447.0,100,Unknown,"33, 48, 80, 81, 85, 27, 28, 29",8100
AnotherDay.mid,273.54471150000006,68,0,"0, 33, 64, 49, 51, 25",2716
AnotherDayInQuicksand.mid,235.44252,158,Unknown,"33, 30",7712
AnotherDimension.mid,400.027897,120,Unknown,"33, 48, 81, 87, 24, 25, 27, 30",5773
AnotherHolyWar.mid,265.3125,192,Unknown,"48, 81, 34, 30",9506
AnotherPieceOfMeat.mid,204.28551000000002,210,Unknown,"33, 52, 30",4152
AnotherRainyNight.mid,217.5,120,2,0,7652
Answer.mid,174.643647,214,Unknown,"0, 25, 34, 29",6265
AnthemOfTheWorld.mid,573.506568,156,Unknown,"33, 6, 44, 48, 52, 54, 25, 61, 30",11762
AntichristianPhenomenon.mid,269.05694,155,Unknown,"33, 30",12505
Antipop.mid,282.58008,124,Unknown,"37, 30",4063
AnUnkind.mid,115.65201200000001,138,Unknown,29,1767
AnybodyListening.mid,381.226368,125,Unknown,"35, 52, 24, 25, 30",3463
AnybodyThere.mid,154.0,60,Unknown,"33, 19, 30",1146
AnyoneAnywhere.mid,289.6363395000001,55,Unknown,"25, 34, 1, 30",1597
AnythingForMyBaby.mid,152.888736,135,0,"34, 80, 81, 82, 30",3255
AnywhereInTheGalaxy(Live).mid,386.66628000000003,162,Unknown,"48, 34, 30",16155
APastAndFutureSecret.mid,215.94137399999997,82,Unknown,"73, 9, 49, 51, 25",5980
APerfectNon-equilibrium.mid,224.0,120,Unknown,"89, 34, 30",5891
Applebite.mid,316.451307,62,Unknown,27,308
Aquabot.mid,314.5773075,142,Unknown,"30, 39",2110
AreYouDeadYet.mid,233.68385999999998,190,Unknown,"48, 34, 30",6857
AreYouTheOne.mid,178.5,80,5,"42, 20, 53, 54, 25",894
AreYouThere.mid,267.21619200000004,97,Unknown,"89, 26, 92, 33",1614
Ariel.mid,332.43210000000005,74,Unknown,"25, 50, 30, 33",4878
ARiteOfPassage.mid,515.1050375166667,106,Unknown,"33, 39, 104, 42, 48, 18, 52, 25, 126, 29, 30, 95",12384
Arizona.mid,226.0,120,Unknown,"80, 34, 29, 30",2646
Armageddon.mid,541.4498479999999,155,Unknown,"33, 2, 56, 29, 30",14066
ArmageddonIt.mid,310.3446,116,Unknown,"36, 29, 30",5270
ArntorEinWindir.mid,381.24642,90,Unknown,"34, 48, 19, 21, 24, 28, 30",8744
Arrival.mid,329.980912,94,Unknown,"37, 56, 91, 29, 30",8846
ArtifactsOfTheBlackRain.mid,195.20000000000002,150,Unknown,"33, 30",5762
Arto.mid,120.68364,135,Unknown,"99, 75",1554
AsAboveSoBelow.mid,303.03000000000003,198,Unknown,"33, 30",9916
ASailormansHymn.mid,230.809086,150,Unknown,"24, 1, 34, 29",2000
AscheZuAsche.mid,225.92635762499998,170,0,"33, 100, 48, 17, 87, 30",6556
ASeaToSufferIn.mid,396.45115100000004,120,Unknown,"0, 34, 40, 29, 30",5898
ASecret.mid,245.333088,180,0,"34, 29, 30",5372
Ashes.mid,265.50787297500005,70,Unknown,"66, 35, 10, 48, 52, 27, 29, 30",4794
AshesToAshes.mid,315.6,200,Unknown,"37, 29, 30",9419
AsIAm.mid,436.324405,99,Unknown,"33, 81, 51, 25, 27, 30, 31",7402
AsianSky.mid,314.38287,146,Unknown,"27, 85, 30",6343
AsIDie.mid,219.13038000000003,115,Unknown,"24, 33, 30",3463
AssItch.mid,184.44,250,0,"36, 37, 27, 29, 30",4142
AsSoonAsTheGoodTimesRoll.mid,271.38183292916665,130,Unknown,"64, 33, 29, 30",4656
AsTheFutureRepeatsToday.mid,214.4,150,Unknown,30,4296
Asthma.mid,210.526,114,Unknown,"33, 27, 30",2220
AstralRomance.mid,336.9997000000001,140,Unknown,"48, 52, 29",4084
AstronomyDomine.mid,331.75932000000006,100,Unknown,"41, 34, 30",4416
AstroZombies.mid,116.25,120,Unknown,"34, 30",4039
AtDawnTheySleep.mid,374.93800799999997,98,Unknown,"33, 30",12366
